,genes,pagerank
7657,Nsa2,0.00012612
7658,Hexb,-1.20E-06
7659,Enc1,1.83E-05
7660,Utp15,1.17E-05
7661,Ankra2,1.35E-05
7662,Btf3,2.55E-05
7663,Fcho2,6.43E-05
7664,Tnpo1,0.000112058
7665,Ptcd2,-2.68E-05
7666,Mrps27,7.39E-06
7667,Map1b,6.69E-06
7668,Mccc2,6.08E-05
7669,Bdp1,8.25E-05
7670,Serf1,-3.48E-05
7671,Smn1,2.55E-05
7672,Naip2,-0.00023759
7673,Gtf2h2,1.12E-06
7674,Marveld2,8.09E-05
7675,Rad17,1.58E-05
7676,Ak6,-0.000108734
7677,Cdk7,-3.86E-07
7678,Mrps36,-3.01E-05
7679,Slc30a5,8.10E-05
7680,Pik3r1,-3.87E-05
7681,Cd180,-0.000254558
7682,Mast4,6.12E-05
7683,Srek1,2.20E-06
7684,Nln,4.76E-05
7685,Trappc13,4.14E-06
7686,Trim23,8.27E-06
7687,Ppwd1,3.34E-05
7688,Cwc27,2.90E-05
7689,Srek1ip1,4.42E-05
7690,Ipo11,-1.41E-05
7691,Dimt1,5.45E-05
7692,Kif2a,5.35E-05
7693,Zswim6,-5.41E-05
7694,Smim15,6.49E-05
7695,Ndufaf2,-2.63E-05
7696,Pde4d,2.81E-05
7697,Plk2,-1.36E-05
7698,Gpbp1,8.55E-06
7699,Mier3,3.59E-06
7700,Map3k1,9.72E-05
7701,Il6st,1.83E-06
7702,Slc38a9,1.94E-05
7703,Plpp1,-0.000108734
7704,Gpx8,4.44E-06
7705,Gzma,1.44E-05
7706,Esm1,-3.21E-05
7707,Snx18,2.51E-05
7708,Arl15,-4.91E-05
7709,Ndufs4,-2.39E-05
7710,Mocs2,-3.39E-05
7711,Itga1,-5.08E-05
7712,Pelo,1.10E-05
7713,Parp8,-2.12E-05
7714,Emb,4.76E-05
7715,Mrps30,4.78E-05
7716,Fgf10,-0.00017526
7717,Nnt,-5.81E-05
7718,Paip1,5.08E-05
7719,4833420G17Rik,2.23E-05
7720,Hmgcs1,8.40E-05
7721,Nim1k,-0.000108734
7722,Zfp131,3.96E-05
7723,Rab10os,-0.000108734
7724,Rab10,0.00010751
7725,Asxl2,5.49E-05
7726,Dtnb,2.52E-05
7727,Dnmt3a,4.71E-05
7728,Adcy3,-2.98E-05
7729,Ptrhd1,-2.90E-05
7730,Ncoa1,-2.51E-05
7731,Itsn2,-8.24E-05
7732,Sf3b6,-0.000108734
7733,Fkbp1b,-7.76E-05
7734,Ubxn2a,6.81E-05
7735,Atad2b,1.44E-05
7736,Ldah,-0.000108734
7737,Hs1bp3,7.86E-06
7738,Rhob,-2.14E-05
7739,Pum2,-0.000162609
7740,Sdc1,2.89E-06
7741,Laptm4a,-1.28E-05
7742,Wdr35,6.98E-06
7743,Ttc32,2.46E-05
7744,Osr1,-7.87E-05
7745,Rdh14,-1.97E-06
7746,Kcns3,-0.000141212
7747,Smc6,3.04E-05
7748,Fam49a,2.86E-05
7749,Mycn,2.32E-05
7750,Ddx1,-1.93E-05
7751,Nbas,2.02E-05
7752,Trib2,1.60E-05
7753,Lpin1,1.68E-05
7754,E2f6,-6.69E-06
7755,Rock2,0.000181608
7756,Pqlc3,3.50E-05
7757,Pdia6,1.95E-05
7758,Nol10,4.25E-05
7759,Odc1,1.54E-05
7760,Hpcal1,-4.84E-05
7761,Asap2,1.83E-05
7762,Itgb1bp1,-7.71E-05
7763,Cpsf3,-5.47E-05
7764,Iah1,-2.25E-05
7765,Adam17,-3.27E-05
7766,Ywhaq,6.01E-05
7767,Taf1b,-6.26E-05
7768,Klf11,2.70E-05
7769,Cys1,-5.47E-05
7770,Kidins220,-4.31E-06
7771,Id2,0.000120927
7772,Rnf144a,-1.54E-06
7773,Cmpk2,2.49E-05
7774,Rps7,1.43E-05
7775,Rnaseh1,-8.17E-05
7776,Adi1,4.41E-05
7777,Trappc12,1.23E-05
7778,Pxdn,-1.41E-05
7779,Tmem18,1.31E-05
7780,Acp1,9.40E-05
7781,Lamb1,1.00E-05
7782,Dld,-5.54E-05
7783,Cbll1,1.16E-05
7784,Bcap29,8.98E-05
7785,Hbp1,-9.90E-06
7786,Prkar2b,7.94E-06
7787,Pik3cg,3.29E-05
7788,Ccdc71l,4.12E-05
7789,Nampt,-1.48E-05
7790,Gdap10,4.39E-05
7791,Sypl,2.38E-06
7792,Atxn7l1,2.89E-05
7793,Twistnb,1.18E-05
7794,Snx13,-1.07E-05
7795,Ahr,2.45E-05
7796,Tspan13,1.10E-05
7797,Bzw2,-3.35E-05
7798,Ankmy2,1.33E-05
7799,Meox2,-0.000260348
7800,Agmo,5.97E-05
7801,Etv1,-1.62E-06
7802,Arl4a,1.27E-05
7803,Lsmem1,7.61E-05
7804,Ifrd1,-5.19E-05
7805,Zfp277,-1.00E-05
7806,Immp2l,1.18E-05
7807,Dnajb9,-5.03E-05
7808,Pnpla8,1.26E-05
7809,Stxbp6,-4.04E-05
7810,Prkd1,2.80E-05
7811,G2e3,4.79E-05
7812,Scfd1,-5.76E-05
7813,Strn3,4.44E-06
7814,Ap4s1,4.83E-05
7815,Hectd1,1.38E-05
7816,Dtd2,2.88E-05
7817,Nubpl,3.27E-06
7818,Arhgap5,-1.04E-05
7819,Sptssa,-4.66E-06
7820,Eapp,9.10E-05
7821,Snx6,5.08E-05
7822,Cfl2,5.96E-05
7823,Baz1a,-4.62E-06
7824,2700097O09Rik,-1.22E-05
7825,Fam177a,-0.000108734
7826,Srp54b,-0.000108734
7827,Ppp2r3c,1.33E-05
7828,1110008L16Rik,4.04E-05
7829,Psma6,-1.63E-06
7830,Nfkbia,8.80E-05
7831,Ralgapa1,3.88E-05
7832,Brms1l,5.89E-06
7833,Mbip,-5.19E-06
7834,Mipol1,-2.53E-05
7835,Clec14a,2.92E-06
7836,Sec23a,9.97E-06
7837,Gemin2,3.04E-05
7838,Trappc6b,-5.18E-05
7839,Pnn,-8.78E-05
7840,Fbxo33,5.95E-05
7841,Prpf39,-8.06E-05
7842,Fkbp3,-1.15E-06
7843,Rps29,-5.46E-05
7844,Rpl36al,5.48E-05
7845,Mgat2,-5.55E-05
7846,Dnaaf2,1.07E-05
7847,Klhdc1,-1.70E-06
7848,Klhdc2,3.72E-05
7849,Nemf,4.01E-06
7850,Arf6,4.65E-05
7851,Vcpkmt,-0.000108734
7852,Sos2,7.24E-06
7853,Atp5s,4.57E-06
7854,Map4k5,5.26E-05
7855,Sav1,-2.73E-05
7856,Nin,-8.47E-06
7857,Pygl,1.90E-05
7858,Tmx1,3.17E-05
7859,Frmd6,6.48E-05
7860,Actr10,-1.07E-05
7861,Psma3,1.03E-05
7862,Arid4a,6.87E-05
7863,Timm9,2.45E-05
7864,2700049A03Rik,2.26E-05
7865,Dact1,-2.69E-06
7866,Daam1,9.17E-06
7867,L3hypdh,5.60E-06
7868,Jkamp,5.47E-05
7869,Rtn1,-0.000102988
7870,Dhrs7,-3.11E-05
7871,Ppm1a,-6.37E-06
7872,Mnat1,2.96E-05
7873,Slc38a6,8.87E-06
7874,Prkch,2.93E-05
7875,Hif1a,1.47E-05
7876,Snapc1,1.32E-05
7877,Rhoj,1.89E-06
7878,Ppp2r5e,-4.02E-05
7879,Wdr89,8.83E-05
7880,Sgpp1,1.75E-05
7881,Syne2,3.89E-05
7882,Mthfd1,5.74E-05
7883,Akap5,-3.23E-05
7884,Zbtb25,-4.89E-05
7885,Zbtb1,0.000132677
7886,Hspa2,2.63E-05
7887,Plekhg3,-2.28E-05
7888,Churc1,1.95E-05
7889,Fntb,2.69E-05
7890,Max,-8.77E-06
7891,Fut8,-0.000100025
7892,Gphn,-1.64E-05
7893,Mpp5,-0.000135479
7894,Atp6v1d,-5.30E-05
7895,Eif2s1,9.61E-05
7896,Tmem229b,-9.70E-05
7897,Pigh,2.68E-05
7898,Vti1b,0.000108389
7899,Rdh11,1.69E-05
7900,Zfp36l1,5.47E-05
7901,2310015A10Rik,1.82E-05
7902,Actn1,-0.000200149
7903,Dcaf5,4.19E-05
7904,Exd2,6.90E-06
7905,Erh,-7.35E-05
7906,Slc39a9,-1.54E-05
7907,Susd6,-0.000108734
7908,Srsf5,6.85E-05
7909,Cox16,-5.51E-05
7910,Synj2bp,2.63E-05
7911,Med6,4.78E-05
7912,Pcnx,-5.15E-06
7913,Sipa1l1,-1.02E-06
7914,Dcaf4,1.37E-05
7915,Zfyve1,4.98E-05
7916,Rbm25,3.88E-05
7917,Psen1,1.91E-06
7918,Numb,2.30E-05
7919,Acot2,-0.000108804
7920,Acot1,-0.000202812
7921,Elmsan1,2.15E-05
7922,Ptgr2,5.11E-05
7923,Zfp410,1.19E-05
7924,Coq6,-1.43E-06
7925,Entpd5,1.10E-05
7926,Rnf113a2,3.78E-05
7927,Aldh6a1,-5.18E-05
7928,Lin52,3.43E-05
7929,Abcd4,2.88E-05
7930,Npc2,-7.88E-06
7931,Isca2,4.27E-06
7932,Ltbp2,3.30E-05
7933,Arel1,9.00E-06
7934,Fcf1,6.72E-05
7935,Ylpm1,-7.05E-05
7936,Dlst,-5.55E-05
7937,Pgf,-0.00021104
7938,Eif2b2,-4.09E-05
7939,Acyp1,2.46E-05
7940,Nek9,1.74E-05
7941,Tmed10,4.65E-05
7942,Fos,5.15E-05
7943,Batf,9.77E-06
7944,Ttll5,-2.06E-05
7945,Tgfb3,1.12E-05
7946,Ift43,-9.14E-05
7947,Irf2bpl,2.74E-06
7948,Cipc,-0.000108734
7949,Gstz1,5.29E-05
7950,Tmed8,-2.17E-05
7951,Vipas39,1.71E-05
7952,Ahsa1,7.51E-05
7953,Sptlc2,9.52E-06
7954,Alkbh1,-2.14E-05
7955,Slirp,-6.51E-05
7956,Snw1,1.98E-05
7957,Adck1,1.03E-05
7958,Gtf2a1,4.57E-06
7959,Sel1l,4.55E-05
7960,Flrt2,2.92E-05
7961,Gpr65,2.56E-05
7962,Ptpn21,8.30E-05
7963,Zc3h14,6.89E-05
7964,Ttc8,2.24E-05
7965,Foxn3,4.85E-06
7966,Tdp1,1.31E-05
7967,Psmc1,7.65E-05
7968,Nrde2,9.62E-06
7969,Calm1,6.46E-05
7970,Ttc7b,2.22E-05
7971,Fbln5,2.57E-05
7972,Trip11,5.25E-05
7973,Atxn3,6.35E-05
7974,Cpsf2,-2.61E-05
7975,Rin3,9.72E-06
7976,Lgmn,-4.54E-05
7977,Golga5,2.05E-05
7978,Itpk1,2.61E-05
7979,Gm20604,-0.000154631
7980,Tmem251,2.43E-05
7981,Ubr7,-2.54E-05
7982,Btbd7,4.97E-06
7983,Otub2,3.77E-05
7984,Ddx24,-4.82E-05
7985,Ifi27,8.17E-05
7986,Ifi27l2a,4.67E-05
7987,Serpina3c,-2.69E-06
7988,Serpina3g,4.05E-05
7989,Serpina3n,-0.000122146
7990,Dicer1,2.41E-05
7991,Clmn,1.22E-05
7992,Glrx5,-1.59E-05
7993,Atg2b,3.40E-05
7994,Gskip,-1.22E-06
7995,Papola,-1.98E-05
7996,Vrk1,-4.13E-06
7997,Bcl11b,1.87E-05
7998,Setd3,0.000103479
7999,Ccnk,1.54E-05
8000,Eml1,-2.15E-05
8001,Evl,2.32E-05
8002,Yy1,-1.58E-05
8003,Wars,7.50E-05
8004,Meg3,5.26E-05
8005,Ppp2r5c,0.000105451
8006,Dync1h1,3.88E-05
8007,Hsp90aa1,-2.72E-06
8008,Wdr20,-0.000108734
8009,Cinp,1.78E-06
8010,Ankrd9,5.63E-06
8011,Rcor1,2.85E-05
8012,Traf3,2.46E-05
8013,Cdc42bpb,2.26E-05
8014,Exoc3l4,-0.000317681
8015,Tnfaip2,1.80E-05
8016,Eif5,5.51E-05
8017,Mark3,1.94E-05
8018,Ckb,1.17E-05
8019,Trmt61a,2.68E-05
8020,Bag5,4.51E-06
8021,Apopt1,-4.62E-05
8022,Klc1,-2.42E-05
8023,Zfyve21,-3.69E-06
8024,Ppp1r13b,4.46E-05
8025,Inf2,-3.24E-05
8026,Adssl1,-8.01E-07
8027,Siva1,1.12E-05
8028,Akt1,3.33E-05
8029,Zbtb42,-4.12E-06
8030,Cep170b,4.59E-05
8031,Pld4,8.91E-06
8032,Cdca4,3.44E-05
8033,Gpr132,3.51E-05
8034,Nudt14,5.02E-05
8035,Brf1,2.29E-05
8036,Btbd6,4.58E-06
8037,Pacs2,3.07E-05
8038,Mta1,-4.86E-06
8039,Crip2,2.42E-06
8040,Crip1,1.78E-05
8041,Zfp386,1.64E-05
8042,Vipr2,-0.000107617
8043,Wdr60,1.16E-05
8044,Esyt2,2.05E-05
8045,Rapgef5,5.37E-05
8046,Cdca7l,4.14E-05
8047,Sp4,-1.59E-05
8048,Ghr,1.45E-05
8049,Fbxo4,0.000149729
8050,AW549877,0.000109898
8051,Oxct1,0.00014798
8052,Plcxd3,-2.52E-05
8053,C7,-2.69E-06
8054,Card6,2.83E-05
8055,Rpl37,3.32E-05
8056,Prkaa1,-1.79E-05
8057,Ttc33,-2.04E-05
8058,Ptger4,-6.42E-05
8059,Dab2,7.31E-06
8060,Fyb,0.000101791
8061,Rictor,2.61E-05
8062,Osmr,-8.20E-05
8063,Lifr,1.65E-05
8064,Egflam,-0.000585959
8065,Wdr70,5.23E-05
8066,Nup155,-4.08E-07
8067,Nipbl,4.45E-05
8068,Slc1a3,0.000132127
8069,Nadk2,2.06E-05
8070,Il7r,2.76E-05
8071,Dnajc21,5.61E-05
8072,Brix1,5.60E-05
8073,Rai14,-5.56E-06
8074,Amacr,2.39E-06
8075,Tars,9.86E-06
8076,Npr3,3.50E-06
8077,Sub1,8.44E-05
8078,Zfr,-2.01E-05
8079,Mtmr12,2.59E-05
8080,Golph3,-5.65E-06
8081,Pdzd2,-5.90E-05
8082,Drosha,-6.16E-06
8083,Basp1,3.03E-05
8084,Myo10,-2.49E-07
8085,Zfp622,6.33E-05
8086,Ank,6.35E-06
8087,Otulin,-0.000108734
8088,Trio,2.53E-05
8089,Dap,-2.74E-05
8090,Ankrd33b,1.58E-05
8091,Cmbl,-3.02E-05
8092,Cct5,-3.87E-06
8093,Fam173b,-8.44E-06
8094,Snhg18,-0.000108734
8095,Sema5a,8.42E-06
8096,Sdc2,2.78E-05
8097,Cpq,2.76E-06
8098,Mtdh,6.19E-05
8099,Laptm4b,3.70E-05
8100,Rpl30,8.86E-05
8101,Nipal2,-2.08E-06
8102,Stk3,-1.88E-05
8103,Vps13b,1.16E-05
8104,Cox6c,4.07E-05
8105,Polr2k,3.26E-05
8106,Rnf19a,1.14E-05
8107,Ankrd46,3.00E-06
8108,Pabpc1,9.56E-05
8109,Ywhaz,4.84E-06
8110,Zfp706,-2.96E-07
8111,Ncald,1.48E-05
8112,Rrm2b,-2.98E-06
8113,Ubr5,-8.46E-05
8114,Klf10,2.87E-05
8115,Azin1,4.44E-05
8116,Atp6v1c1,5.45E-05
8117,Fzd6,-2.13E-05
8118,Cthrc1,7.05E-06
8119,Slc25a32,-8.82E-06
8120,Dcaf13,8.89E-06
8121,Lrp12,6.42E-06
8122,Oxr1,2.44E-05
8123,Angpt1,-0.000110964
8124,Eif3e,6.71E-05
8125,Emc2,7.63E-05
8126,Nudcd1,5.25E-05
8127,Eny2,-3.44E-06
8128,Ebag9,3.44E-07
8129,Trps1,1.86E-05
8130,Eif3h,-2.23E-05
8131,Utp23,3.87E-07
8132,Rad21,-2.61E-05
8133,Aard,2.71E-05
8134,Med30,-2.54E-05
8135,Ext1,3.59E-06
8136,Enpp2,-3.65E-05
8137,Taf2,2.18E-05
8138,Deptor,9.69E-05
8139,Col14a1,-2.71E-05
8140,Mrpl13,0.000104723
8141,Sntb1,6.13E-05
8142,Zhx2,-4.88E-05
8143,Derl1,-3.86E-05
8144,9130401M01Rik,1.09E-05
8145,Zhx1,-4.78E-05
8146,Atad2,1.86E-05
8147,Wdyhv1,1.54E-05
8148,Fbxo32,-2.01E-05
8149,Tmem65,1.65E-06
8150,Rnf139,-5.61E-05
8151,Tatdn1,3.37E-05
8152,Ndufb9,-2.77E-05
8153,Mtss1,-9.03E-05
8154,Sqle,6.96E-05
8155,Nsmce2,5.59E-05
8156,Trib1,3.27E-05
8157,Fam84b,8.80E-05
8158,Myc,-1.07E-05
8159,Fam49b,2.91E-05
8160,Asap1,2.15E-05
8161,Efr3a,6.63E-05
8162,Tmem71,1.41E-05
8163,Phf20l1,1.29E-05
8164,Sla,2.24E-05
8165,Ndrg1,2.01E-05
8166,St3gal1,1.86E-05
8167,Khdrbs3,2.11E-05
8168,Trappc9,3.84E-05
8169,Chrac1,-1.92E-05
8170,Ago2,4.35E-05
8171,Ptk2,2.27E-05
8172,Dennd3,0.000121674
8173,Slc45a4,-2.62E-05
8174,Ptp4a3,9.28E-06
8175,Arc,-2.69E-06
8176,Them6,1.53E-05
8177,Lynx1,-2.54E-05
8178,Ly6d,-6.88E-06
8179,Ly6e,1.51E-05
8180,Ly6a,0.00018939
8181,Ly6c1,3.01E-05
8182,Ly6c2,-1.67E-05
8183,Gpihbp1,-9.24E-05
8184,Zc3h3,-1.98E-05
8185,Gsdmd,4.09E-05
8186,Naprt,-0.000108734
8187,Eef1d,-2.91E-05
8188,Pycrl,2.13E-06
8189,Tsta3,4.39E-05
8190,Zfp623,1.65E-05
8191,Scrib,1.85E-05
8192,Puf60,-0.000142981
8193,Nrbp2,1.02E-06
8194,Plec,1.17E-05
8195,Parp10,7.17E-05
8196,Grina,9.28E-06
8197,Oplah,4.85E-05
8198,Exosc4,0.00010739
8199,Gpaa1,-3.48E-05
8200,Cyc1,-5.88E-05
8201,Sharpin,-2.54E-05
8202,Maf1,-2.34E-05
8203,Hgh1,-0.000108734
8204,Mroh1,3.79E-05
8205,Bop1,1.22E-05
8206,Hsf1,1.04E-05
8207,Dgat1,9.17E-06
8208,Fbxl6,7.99E-06
8209,Slc52a2,-9.14E-06
8210,Adck5,1.16E-05
8211,Cpsf1,-5.70E-05
8212,Tonsl,4.17E-05
8213,Cyhr1,2.00E-05
8214,Ppp1r16a,-1.13E-05
8215,Mfsd3,-0.00012946
8216,Lrrc14,-1.23E-06
8217,Lrrc24,-0.000243945
8218,Arhgap39,1.98E-05
8219,Commd5,1.13E-05
8220,Rpl8,5.67E-05
8221,1110038F14Rik,-4.73E-06
8222,Rbfox2,4.13E-06
8223,Apol9b,-0.000185017
8224,Myh9,3.01E-05
8225,Txn2,3.86E-06
8226,Eif3d,0.000114535
8227,Ift27,6.84E-05
8228,Ncf4,-5.49E-05
8229,Csf2rb2,5.06E-05
8230,Csf2rb,2.94E-05
8231,Tst,-3.22E-05
8232,Mpst,-2.56E-05
8233,Il2rb,-0.000122281
8234,C1qtnf6,3.42E-06
8235,Rac2,-6.29E-06
8236,Cyth4,-2.07E-05
8237,Mfng,4.24E-05
8238,Card10,1.88E-05
8239,Cdc42ep1,4.58E-05
8240,Gga1,2.15E-05
8241,Sh3bp1,2.05E-05
8242,Lgals1,-8.67E-05
8243,Nol12,6.03E-05
8244,Triobp,2.23E-06
8245,H1f0,2.37E-05
8246,Gcat,5.02E-06
8247,Ankrd54,8.81E-05
8248,Eif3l,-0.000115851
8249,Micall1,-4.90E-05
8250,1700088E04Rik,-3.93E-07
8251,Polr2f,-0.00012275
8252,Pick1,3.26E-05
8253,Maff,-3.97E-05
8254,Tmem184b,1.34E-05
8255,Csnk1e,-3.42E-05
8256,Kdelr3,2.61E-05
8257,Ddx17,1.63E-06
8258,Cby1,-8.69E-06
8259,Tomm22,-0.000105975
8260,Josd1,9.16E-05
8261,Gtpbp1,3.17E-05
8262,Sun2,-3.65E-05
8263,Dnal4,4.81E-05
8264,Cbx6,0.000112712
8265,Apobec3,4.92E-05
8266,Cbx7,4.69E-05
8267,Pdgfb,2.39E-05
8268,Rpl3,1.11E-05
8269,Syngr1,-8.25E-06
8270,Mief1,9.09E-06
8271,Atf4,0.000108873
8272,Rps19bp1,-7.42E-05
8273,Grap2,-7.71E-06
8274,Tnrc6b,0.000102703
8275,Adsl,2.89E-05
8276,Sgsm3,-9.78E-05
8277,Mkl1,2.62E-06
8278,Slc25a17,-1.45E-05
8279,St13,6.96E-05
8280,Xpnpep3,3.31E-05
8281,Rbx1,-1.19E-06
8282,Ep300,6.47E-05
8283,L3mbtl2,-2.75E-05
8284,Rangap1,-3.39E-06
8285,Zc3h7b,-1.91E-05
8286,Tef,9.89E-05
8287,Tob2,8.36E-05
8288,Phf5a,6.20E-05
8289,Aco2,-7.29E-05
8290,Polr3h,4.52E-06
8291,Pmm1,4.30E-06
8292,Xrcc6,-8.63E-06
8293,Desi1,-5.52E-05
8294,Ccdc134,-3.50E-05
8295,Srebf2,-3.63E-05
8296,Tnfrsf13c,-9.20E-05
8297,Naga,-9.31E-05
8298,Smdt1,3.44E-05
8299,Ndufa6,9.50E-06
8300,Cyp2d22,1.77E-05
8301,Tcf20,9.13E-05
8302,Nfam1,-1.01E-06
8303,Serhl,7.15E-06
8304,Rrp7a,7.58E-05
8305,Poldip3,3.50E-05
8306,Cyb5r3,-8.63E-06
8307,A4galt,1.96E-06
8308,Arfgap3,1.17E-05
8309,Pacsin2,-0.000106012
8310,Ttll1,-5.83E-06
8311,Bik,-3.88E-06
8312,Mcat,-2.01E-05
8313,Tspo,-3.81E-05
8314,Ttll12,-2.16E-05
8315,Scube1,-0.000252885
8316,Samm50,-5.48E-05
8317,Parvb,1.53E-05
8318,Parvg,-1.27E-05
8319,Prr5,6.69E-06
8320,Arhgap8,1.31E-05
8321,Nup50,4.15E-05
8322,5031439G07Rik,-2.61E-05
8323,Fam118a,1.36E-05
8324,Fbln1,-2.47E-06
8325,Atxn10,-4.48E-05
8326,Cdpf1,-7.98E-05
8327,Ttc38,-3.68E-05
8328,Trmu,3.04E-06
8329,Gramd4,4.57E-06
8330,Cerk,2.41E-05
8331,Tbc1d22a,1.06E-05
8332,Brd1,2.72E-05
8333,Zbed4,3.67E-05
8334,Alg12,1.52E-05
8335,Creld2,-7.44E-05
8336,Pim3,-0.000178474
8337,Ttll8,-5.65E-05
8338,Trabd,4.25E-05
8339,Hdac10,2.69E-06
8340,Mapk12,-0.000149695
8341,Mapk11,-8.60E-05
8342,Plxnb2,-4.08E-05
8343,Sbf1,-3.39E-06
8344,Lmf2,-1.52E-05
8345,Ncaph2,8.29E-05
8346,Sco2,1.90E-05
8347,Chkb,4.62E-05
8348,Arsa,7.77E-06
8349,Shank3,-2.96E-05
8350,Rabl2,1.69E-05
8351,Cpne8,-1.76E-05
8352,Kif21a,3.01E-05
8353,Abcd2,1.27E-05
8354,Lrrk2,5.14E-05
8355,Gxylt1,4.17E-05
8356,Yaf2,-2.63E-05
8357,Zcrb1,1.67E-05
8358,Pphln1,-1.90E-05
8359,Prickle1,-2.57E-05
8360,Irak4,-4.63E-06
8361,Twf1,3.31E-05
8362,Ano6,-7.59E-06
8363,2610037D02Rik,-1.18E-05
8364,Arid2,4.79E-05
8365,Scaf11,4.38E-05
8366,Slc38a1,2.89E-05
8367,Slc38a2,7.34E-05
8368,Amigo2,6.15E-07
8369,Pced1b,-1.43E-05
8370,Rpap3,1.55E-05
8371,Endou,-9.20E-05
8372,Rapgef3,1.72E-05
8373,Slc48a1,4.01E-05
8374,Hdac7,-3.84E-05
8375,Tmem106c,2.72E-05
8376,Senp1,6.01E-06
8377,Pfkm,1.48E-05
8378,Asb8,7.56E-05
8379,Kansl2,1.19E-05
8380,Ccnt1,8.97E-05
8381,9330020H09Rik,4.94E-05
8382,Adcy6,-4.93E-05
8383,Cacnb3,-4.46E-05
8384,Ddx23,-8.02E-05
8385,Rnd1,3.68E-05
8386,Fkbp11,0.000152354
8387,Arf3,1.59E-05
8388,Prkag1,-1.97E-05
8389,Kmt2d,3.98E-05
8390,Lmbr1l,4.03E-05
8391,Tuba1b,-3.88E-05
8392,Tuba1a,2.84E-05
8393,Tuba1c,-4.00E-05
8394,Spats2,-6.72E-06
8395,Mcrs1,2.56E-06
8396,Prpf40b,6.90E-05
8397,Fmnl3,-2.81E-05
8398,Tmbim6,6.13E-05
8399,Faim2,-0.000174476
8400,Racgap1,-2.60E-05
8401,Smarcd1,8.59E-06
8402,Cox14,-4.48E-05
8403,Cers5,-1.60E-05
8404,Lima1,6.41E-05
8405,Larp4,4.39E-05
8406,Dip2b,6.87E-06
8407,Atf1,3.82E-05
8408,Mettl7a1,1.87E-05
8409,Slc11a2,6.92E-05
8410,Letmd1,4.97E-07
8411,Csrnp2,2.47E-05
8412,Pou6f1,2.20E-05
8413,Dazap2,-1.97E-05
8414,Smagp,3.65E-05
8415,Bin2,6.22E-05
8416,Galnt6,2.03E-05
8417,Acvrl1,7.39E-06
8418,Acvr1b,-7.09E-05
8419,A330009N23Rik,-0.000115622
8420,Grasp,4.64E-06
8421,Nr4a1,8.78E-06
8422,Atg101,-0.000108734
8423,6030408B16Rik,-2.69E-06
8424,Krt7,-5.97E-05
8425,Krt79,-1.61E-05
8426,Krt8,-5.12E-05
8427,Krt18,-0.000139085
8428,Eif4b,5.27E-05
8429,Tns2,-0.000108734
8430,Spryd3,-1.10E-05
8431,Igfbp6,-6.80E-06
8432,Csad,-8.99E-06
8433,Zfp740,-1.25E-05
8434,Itgb7,1.74E-05
8435,Rarg,-1.58E-05
8436,Mfsd5,1.97E-05
8437,Pfdn5,5.63E-05
8438,Myg1,-1.89E-05
8439,Aaas,1.53E-05
8440,Sp1,-2.31E-05
8441,Prr13,8.17E-05
8442,Pcbp2,6.79E-05
8443,Map3k12,-9.61E-07
8444,Tarbp2,1.76E-05
8445,Atf7,1.41E-05
8446,Atp5g2,-8.75E-05
8447,Calcoco1,9.36E-07
8448,Cbx5,1.85E-05
8449,Hnrnpa1,1.84E-05
8450,Copz1,-6.72E-05
8451,Zfp385a,-3.44E-05
8452,Itga5,8.68E-06
8453,Nckap1l,6.17E-06
8454,Zfp263,-1.19E-05
8455,Zfp597,2.70E-05
8456,Naa60,-1.32E-05
8457,1700037C18Rik,1.75E-05
8458,Cluap1,5.21E-05
8459,Trap1,3.14E-05
8460,Crebbp,1.87E-05
8461,Adcy9,8.28E-05
8462,Glis2,-2.80E-05
8463,Pam16,2.90E-05
8464,Coro7,-6.77E-05
8465,Vasn,-3.59E-05
8466,Dnaja3,-4.22E-05
8467,Nmral1,-0.000257923
8468,Hmox2,-5.03E-05
8469,Cdip1,-4.03E-05
8470,Ubald1,-1.91E-05
8471,Mgrn1,1.64E-05
8472,Nudt16l1,2.24E-05
8473,Anks3,1.07E-05
8474,Smim22,7.33E-05
8475,Rogdi,-1.25E-05
8476,Glyr1,2.63E-05
8477,Ubn1,-1.61E-05
8478,Ppl,-4.21E-05
8479,Nagpa,2.29E-05
8480,AU021092,-0.00013292
8481,Alg1,9.66E-05
8482,Eef2kmt,-0.000108734
8483,Mettl22,-2.97E-06
8484,Pmm2,2.45E-05
8485,Carhsp1,-1.31E-05
8486,Usp7,6.61E-05
8487,1810013L24Rik,-2.63E-05
8488,Emp2,-6.22E-05
8489,Nubp1,3.63E-07
8490,Dexi,1.12E-05
8491,Socs1,-2.21E-05
8492,Litaf,1.94E-05
8493,Snn,2.52E-05
8494,Txndc11,3.56E-06
8495,Zc3h7a,0.000181665
8496,Rsl1d1,-1.72E-05
8497,Gspt1,9.06E-05
8498,Snx29,4.61E-05
8499,Cpped1,3.44E-05
8500,Ercc4,8.62E-06
8501,Mkl2,2.05E-05
8502,Parn,3.83E-05
8503,Bfar,4.08E-05
8504,Rrn3,1.15E-05
8505,Ntan1,2.45E-05
8506,Pdxdc1,0.000118421
8507,Mpv17l,-4.35E-05
8508,Marf1,-4.62E-05
8509,Nde1,1.70E-05
8510,Myh11,-5.56E-05
8511,Fopnl,-4.59E-05
8512,Abcc1,-0.000262849
8513,Ube2v2,1.26E-05
8514,Mcm4,1.79E-05
