,genes,pagerank
567,D730003I15Rik,5.09E-05
568,Nenf,-0.000116439
569,Tmem206,-1.91E-05
570,Ppp2r5a,5.54E-05
571,Ints7,-7.57E-06
572,Lpgat1,1.16E-05
573,Slc30a1,1.53E-05
574,Traf5,-7.87E-06
575,Rcor3,2.95E-05
576,A130010J15Rik,-3.82E-06
577,Traf3ip3,2.23E-05
578,Lamb3,7.43E-05
579,Hsd11b1,1.95E-05
580,G0s2,1.03E-05
581,Plxna2,0.00011082
582,Cd34,2.50E-05
583,Cr1l,2.50E-06
584,Fam171a1,-9.43E-06
585,Nmt2,8.83E-06
586,Hspa14,3.98E-05
587,Fam107b,4.38E-05
588,Frmd4a,6.23E-06
589,Prpf18,4.01E-05
590,Bend7,2.73E-05
591,Sephs1,1.22E-05
592,Phyh,5.90E-05
593,Optn,7.25E-05
594,Camk1d,1.48E-06
595,Cdc123,-6.52E-06
596,Nudt5,7.68E-06
597,Sec61a2,3.33E-05
598,Upf2,6.45E-05
599,Usp6nl,4.43E-05
600,Celf2,2.11E-05
601,Gata3,1.87E-05
602,Taf3,-3.18E-05
603,Atp5c1,-0.000119357
604,Kin,1.25E-05
605,Itih5,-0.000123002
606,Prkcq,-1.59E-05
607,Pfkfb3,3.62E-05
608,Rbm17,-9.52E-05
609,Il15ra,2.71E-05
610,Ankrd16,3.51E-05
611,Itga8,-0.000132627
612,Rsu1,8.60E-06
613,Trdmt1,1.81E-05
614,Vim,8.30E-05
615,Hacd1,-0.000108734
616,Stam,-4.01E-05
617,Mrc1,9.07E-06
618,Cacnb2,-2.69E-06
619,Nsun6,1.17E-05
620,Arl5b,7.49E-05
621,Plxdc2,-3.63E-06
622,Nebl,2.39E-05
623,Mllt10,5.85E-05
624,Dnajc1,6.25E-05
625,Commd3,-4.11E-05
626,Bmi1,0.000115617
627,Pip4k2a,2.77E-05
628,Msrb2,3.90E-05
629,Otud1,1.79E-05
630,Etl4,-1.05E-05
631,Arhgap21,3.09E-05
632,Enkur,3.69E-06
633,Apbb1ip,8.19E-06
634,Abi1,-7.80E-05
635,Acbd5,-3.88E-05
636,Mastl,-2.69E-06
637,Yme1l1,6.54E-06
638,Spopl,-4.54E-05
639,Hnmt,-6.15E-06
640,Il1rn,-3.50E-05
641,Psd4,-6.00E-06
642,Ehmt1,8.13E-05
643,Arrdc1,-5.13E-05
644,Dph7,1.50E-05
645,Mrpl41,2.41E-05
646,Pnpla7,2.04E-05
647,Nsmf,-5.91E-05
648,Nrarp,1.48E-05
649,Tor4a,2.81E-05
650,Nelfb,-3.69E-05
651,Tubb4b,9.65E-05
652,Ndor1,2.73E-05
653,Tmem203,1.78E-05
654,Tprn,1.60E-05
655,Ssna1,-4.81E-05
656,Anapc2,4.27E-05
657,Man1b1,-6.75E-06
658,Dpp7,9.40E-06
659,Uap1l1,-4.50E-05
660,Entpd2,1.07E-05
661,Npdc1,2.92E-05
662,Abca2,2.96E-05
663,Clic3,-6.53E-05
664,Fbxw5,1.74E-05
665,Traf2,1.29E-05
666,Edf1,-2.14E-05
667,Phpt1,-5.62E-06
668,Rabl6,-5.54E-05
669,Tmem141,-1.94E-05
670,Bmyc,5.40E-06
671,Camsap1,9.25E-06
672,Ubac1,8.48E-06
673,Nacc2,3.37E-05
674,Qsox2,2.34E-05
675,Gpsm1,-7.06E-06
676,Dnlz,-2.49E-05
677,Pmpca,-3.75E-05
678,Inpp5e,2.88E-05
679,Sec16a,2.78E-05
680,Notch1,1.08E-06
681,Egfl7,-2.77E-05
682,Agpat2,5.04E-05
683,Fam69b,-1.36E-05
684,Surf6,6.39E-06
685,Med22,4.48E-06
686,Rpl7a,-2.07E-05
687,Surf1,-4.88E-05
688,Surf2,1.14E-05
689,Surf4,-5.11E-05
690,Rexo4,-1.71E-05
691,Cacfd1,4.02E-05
692,Slc2a6,-0.000138199
693,Adamtsl2,-0.000215471
694,Vav2,-3.11E-05
695,Brd3,-1.53E-05
696,Wdr5,-1.06E-05
697,Rxra,6.29E-06
698,Col5a1,3.11E-05
699,Olfm1,-4.56E-05
700,Ralgds,4.71E-06
701,Tsc1,4.87E-05
702,Gtf3c4,1.52E-05
703,Ttf1,4.82E-06
704,Setx,6.87E-06
705,Med27,7.87E-06
706,Rapgef1,2.12E-05
707,Trub2,2.99E-05
708,Coq4,1.59E-05
709,Slc27a4,2.50E-05
710,Urm1,2.23E-05
711,Cercam,-2.69E-06
712,Odf2,2.21E-05
713,Gle1,3.81E-05
714,Sptan1,0.000120312
715,Wdr34,1.93E-05
716,Set,0.000104306
717,Pkn3,-5.00E-06
718,Zdhhc12,1.38E-06
719,Zer1,3.10E-05
720,Tbc1d13,5.47E-05
721,Endog,2.61E-05
722,Lrrc8a,2.03E-05
723,Dolk,5.66E-06
724,Sh3glb2,2.38E-05
725,Crat,2.78E-05
726,Ier5l,-9.84E-06
727,Ntmt1,-5.27E-05
728,Asb6,9.51E-06
729,Ptges,9.57E-07
730,Tor1b,6.15E-05
731,Tor1a,-1.49E-05
732,BC005624,-2.91E-05
733,Usp20,1.54E-05
734,Fnbp1,6.96E-05
735,Gpr107,-5.56E-05
736,Ass1,-3.02E-05
737,Fubp3,7.18E-06
738,Exosc2,3.34E-06
739,Abl1,3.11E-05
740,Nup214,5.16E-05
741,Prrc2b,3.54E-05
742,Pomt1,1.37E-05
743,Uck1,-3.07E-05
744,Swi5,1.40E-05
745,Golga2,-3.69E-05
746,Dnm1,-0.000193244
747,Ciz1,1.69E-05
748,1110008P14Rik,-3.40E-05
749,Lcn2,-9.71E-05
750,Ptges2,4.56E-06
751,Slc25a25,1.06E-05
752,Fam102a,1.30E-05
753,Dpm2,-7.31E-06
754,St6galnac4,-8.49E-05
755,St6galnac6,0.000118482
756,Ak1,4.37E-05
757,Eng,-9.26E-06
758,Fpgs,1.56E-05
759,Cdk9,8.71E-06
760,Sh2d3c,1.34E-05
761,Tor2a,6.08E-05
762,Stxbp1,1.66E-05
763,Fam129b,-0.000105292
764,Rpl12,3.55E-06
765,Slc2a8,-7.03E-05
766,Garnl3,-2.58E-05
767,Angptl2,-0.000110603
768,Zbtb43,3.70E-06
769,Mvb12b,1.87E-05
770,Pbx3,2.46E-05
771,Mapkap1,-2.15E-05
772,Gapvd1,1.47E-05
773,Hspa5,-1.42E-05
774,Rabepk,-1.15E-05
775,Fbxw2,-2.57E-05
776,Psmd5,-4.34E-05
777,Traf1,-0.000139693
778,Cntrl,-0.000108734
779,Rab14,-5.92E-05
780,Gsn,-0.000112642
781,Stom,6.70E-06
782,Ggta1,3.30E-05
783,Dab2ip,4.19E-05
784,Ndufa8,-3.19E-06
785,Rbm18,6.19E-05
786,Mrrf,1.69E-05
787,Ptgs1,9.14E-05
788,Pdcl,2.86E-05
789,Rc3h2,3.08E-05
790,Rabgap1,-2.66E-05
791,Strbp,4.50E-05
792,Dennd1a,4.15E-05
793,Nek6,-3.20E-05
794,Psmb7,2.15E-05
795,Rpl35,-2.60E-06
796,Arpc5l,-2.25E-05
797,Golga1,7.37E-05
798,Scai,3.37E-05
799,Ppp6c,-4.74E-05
800,Arhgap15,-6.16E-05
801,Gtdc1,3.46E-05
802,Zeb2,4.45E-06
803,Zeb2os,-0.000108734
804,Acvr2a,-1.85E-05
805,Orc4,-6.76E-06
806,Mbd5,3.04E-05
807,Epc2,6.50E-05
808,Mmadhc,4.12E-05
809,Rnd3,-6.17E-05
810,Nmi,-1.91E-05
811,Tnfaip6,-2.69E-06
812,Rif1,6.16E-05
813,Arl5a,-5.37E-05
814,Stam2,7.82E-06
815,Fmnl2,3.36E-06
816,Prpf40a,7.52E-05
817,Arl6ip6,-6.84E-05
818,Nr4a2,-2.37E-05
819,Gpd2,1.22E-05
820,Cytip,0.000104098
821,Acvr1,-2.70E-06
822,Pkp4,4.86E-05
823,Tanc1,7.26E-05
824,Wdsub1,2.57E-05
825,Baz2b,0.000131736
826,Cd302,6.73E-05
827,Pla2r1,3.69E-05
828,Rbms1,7.21E-05
829,Tank,4.71E-05
830,Psmd14,-6.81E-06
831,Dpp4,-0.000138725
832,Ifih1,2.43E-05
833,Gca,-4.55E-05
834,Grb14,3.03E-05
835,Cobll1,-3.20E-05
836,Scn3a,-7.21E-05
837,Scn7a,2.58E-05
838,Stk39,7.33E-05
839,Cers6,2.31E-05
840,Nostrin,-1.85E-05
841,Ppig,4.06E-05
842,Phospho2,4.07E-05
843,Ssb,8.12E-05
844,Mettl5,2.92E-05
845,Ubr3,0.000171201
846,Gorasp2,-4.01E-06
847,Tlk1,2.56E-05
848,Dcaf17,2.74E-05
849,Dync1i2,2.25E-05
850,Slc25a12,-3.99E-05
851,Hat1,1.82E-05
852,Metap1d,-2.47E-06
853,Itga6,1.07E-05
854,Pdk1,-9.15E-06
855,Rapgef4,3.76E-05
856,Sp3,-9.22E-05
857,Sp3os,-0.000108734
858,Ola1,5.22E-05
859,Cir1,1.36E-05
860,Scrn3,4.37E-05
861,Gpr155,2.50E-05
862,Wipf1,2.72E-05
863,Chn1,-3.20E-05
864,Atf2,6.68E-05
865,Atp5g3,4.93E-05
866,Mtx2,2.33E-06
867,Hnrnpa3,0.000105692
868,Nfe2l2,3.48E-06
869,Agps,-2.73E-05
870,Osbpl6,1.36E-05
871,Prkra,2.30E-05
872,Fkbp7,1.03E-05
873,Plekha3,1.31E-06
874,Ccdc141,5.25E-05
875,Sestd1,1.96E-05
876,Cwc22,3.11E-05
877,Ube2e3,3.93E-05
878,Itga4,3.18E-06
879,Dnajc10,-3.95E-05
880,Nckap1,9.44E-05
881,Dusp19,1.62E-05
882,Nup35,1.42E-05
883,Zc3h15,5.66E-05
884,Itgav,-1.30E-05
885,Calcrl,-1.00E-05
886,Tfpi,-5.60E-05
887,Ctnnd1,2.39E-06
888,Tmx2,3.15E-05
889,Med19,5.21E-05
890,Zdhhc5,0.000107933
891,Clp1,3.21E-05
892,Serping1,-5.84E-05
893,Ube2l6,-1.26E-05
894,Timm10,7.89E-05
895,Slc43a3,-2.10E-05
896,Ssrp1,1.12E-05
897,Tnks1bp1,1.98E-05
898,Aplnr,-3.50E-05
899,Ptprj,2.58E-05
900,Fnbp4,1.40E-05
901,Mtch2,-4.27E-05
902,C1qtnf4,-2.94E-05
903,Ndufs3,2.47E-06
904,Kbtbd4,3.78E-05
905,Celf1,4.89E-05
