,genes,degree,pagerank
775,Fbxw2,0,5.07E-06
776,Psmd5,0,5.07E-06
777,Traf1,0,5.07E-06
778,Cntrl,0,5.07E-06
779,Rab14,-34,-7.17E-05
780,Gsn,-301,0
781,Stom,0,5.07E-06
782,Ggta1,-7,0
783,Dab2ip,0,5.07E-06
784,Ndufa8,0,5.07E-06
785,Rbm18,0,5.07E-06
786,Mrrf,0,5.07E-06
787,Ptgs1,0,5.07E-06
788,Pdcl,0,5.07E-06
789,Rc3h2,0,5.07E-06
790,Rabgap1,0,5.07E-06
791,Strbp,0,5.07E-06
792,Dennd1a,0,5.07E-06
793,Nek6,0,5.07E-06
794,Psmb7,0,5.07E-06
795,Rpl35,73,-4.56E-05
796,Arpc5l,0,5.07E-06
797,Golga1,0,5.07E-06
798,Scai,0,5.07E-06
799,Ppp6c,0,5.07E-06
800,Arhgap15,0,5.07E-06
801,Gtdc1,0,5.07E-06
802,Zeb2,0,5.07E-06
803,Zeb2os,10,0
804,Acvr2a,0,5.07E-06
805,Orc4,0,5.07E-06
806,Mbd5,0,5.07E-06
807,Epc2,0,5.07E-06
808,Mmadhc,0,5.07E-06
809,Rnd3,0,5.07E-06
810,Nmi,0,5.07E-06
811,Tnfaip6,0,5.07E-06
812,Rif1,0,5.07E-06
813,Arl5a,0,5.07E-06
814,Stam2,0,5.07E-06
815,Fmnl2,-4,0
816,Prpf40a,0,5.07E-06
817,Arl6ip6,0,5.07E-06
818,Nr4a2,0,5.07E-06
819,Gpd2,0,5.07E-06
820,Cytip,0,5.07E-06
821,Acvr1,0,5.07E-06
822,Pkp4,0,5.07E-06
823,Tanc1,0,5.07E-06
824,Wdsub1,0,5.07E-06
825,Baz2b,0,5.07E-06
826,Cd302,0,5.07E-06
827,Pla2r1,0,5.07E-06
828,Rbms1,-5,-6.15E-06
829,Tank,0,5.07E-06
830,Psmd14,0,5.07E-06
831,Dpp4,0,5.07E-06
832,Ifih1,0,5.07E-06
833,Gca,0,5.07E-06
834,Grb14,165,0
835,Cobll1,0,5.07E-06
